Time,Data
756030573,0.000000
756188404,0.000000
756346254,0.000000
756505233,0.000000
756723546,0.000000
756881025,0.000000
757038727,0.000000
757196058,0.000000
757414074,0.000000
757571091,0.000000
757789032,0.000000
757946290,0.000000
758164824,0.000000
758382340,0.000000
758539986,0.000000
758756983,0.000000
758914111,0.000000
759071164,0.000000
759289254,0.000000
759507418,0.000000
759664990,0.000000
759822174,0.000000
760040152,0.000000
760199669,0.000000
760357408,0.000000
760515480,0.000000
760673237,0.000000
760831198,0.000000
761048158,0.000000
761205990,0.000000
761363229,0.000000
761521319,0.000000
761678984,0.000000
762043072,0.000000
762201144,0.000000
762358864,0.000000
762516233,0.000000
762674286,0.000000
762832173,0.000000
762990338,0.000000
763148003,0.000000
763365389,0.000000
763523405,0.000000
763681274,0.000000
763839013,0.000000
763999196,0.000000
764219563,0.000000
764377672,0.000000
764535041,0.000000
764692039,0.000000
764850148,0.000000
765008183,0.000000
765166348,0.000000
765324198,0.000000
765541121,0.000000
765699138,0.000000
765916376,0.000000
766074040,0.000000
766231316,0.000000
766449924,0.000000
766607311,0.000000
766765087,0.000000
766981973,0.000000
767139083,0.000000
767297099,0.000000
767514856,0.000000
767672039,0.000000
767830259,0.000000
767988128,0.000000
768220051,0.000000
768378234,0.000000
768595731,0.000000
768753396,0.000000
768911172,0.000000
769128058,0.000000
769285982,0.000000
769444369,0.000000
769602756,0.000000
769819308,0.000000
769977103,0.000000
770135045,0.000000
770352209,0.000000
770510189,0.000000
770727630,0.000000
770885036,0.000000
771103311,0.000000
771261198,0.000000
771419344,0.000000
771636064,0.000000
771794654,0.000000
771951875,0.000000
772171816,0.000000
772329092,0.000000
772487146,0.000000
772645051,0.000000
772803957,0.000000
773021287,0.000000
773179026,0.000000
773337098,0.000000
773495152,0.000000
773712001,0.000000
773870591,0.000000
774028182,0.000000
774185958,0.000000
774403103,0.000000
774561101,0.000000
774719099,0.000000
774877894,0.000000
775037021,0.000000
775195019,0.000000
775412368,0.000000
775629921,0.000000
775847122,0.000000
776004898,0.000000
776235840,0.000000
776393282,0.000000
776551002,0.000000
776708945,0.000000
776867017,0.000000
777025848,0.000000
777242031,0.000000
777400214,0.000000
777557971,0.000000
777774932,0.000000
777932893,0.000000
778090817,0.000000
778249167,0.000000
778409016,0.000000
778566903,0.000000
778784123,0.000000
778941991,0.000000
779100526,0.000000
779258024,0.000000
779417152,0.000000
779575113,0.000000
779732796,0.000000
779950868,0.000000
780110995,0.000000
780326122,0.000000
780483954,0.000000
780641840,0.000000
780798838,0.000000
780956725,0.000000
781174500,0.000000
781331999,0.000000
781489811,0.000000
781647032,0.000000
781807919,0.000000
782024786,0.000000
782182451,0.000000
782399893,0.000000
782557946,0.000000
782715852,0.000000
782932923,0.000000
783091069,0.000000
783249419,0.000000
783407176,0.000000
783566915,0.000000
783724839,0.000000
783882911,0.000000
784040965,0.000000
784200444,0.000000
784358868,0.000000
784516959,0.000000
784674864,0.000000
784832788,0.000000
784990860,0.000000
785148007,0.000000
785305912,0.000000
785523020,0.000000
785681056,0.000000
785838924,0.000000
786056088,0.000000
786213919,0.000000
786372584,0.000000
786529730,0.000000
786689747,0.000000
786846671,0.000000
787004095,0.000000
787161833,0.000000
787319128,0.000000
787479292,0.000000
787637050,0.000000
787794788,0.000000
787952916,0.000000
788171376,0.000000
788329004,0.000000
788487521,0.000000
788645093,0.000000
788862609,0.000000
789019792,0.000000
789177993,0.000000
789336047,0.000000
789495693,0.000000
789713728,0.000000
789872096,0.000000
790029890,0.000000
790186981,0.000000
790347164,0.000000
790504755,0.000000
790663308,0.000000
790820973,0.000000
790979878,0.000000
791137802,0.000000
791295893,0.000000
791453613,0.000000
791671351,0.000000
791828812,0.000000
791986810,0.000000
792219196,0.000000
792376806,0.000000
792534618,0.000000
792694431,0.000000
792851818,0.000000
793069852,0.000000
793227776,0.000000
793385774,0.000000
793542772,0.000000
793703289,0.000000
793860824,0.000000
794019007,0.000000
794176876,0.000000
794335726,0.000000
794493779,0.000000
794651851,0.000000
794810257,0.000000
794969662,0.000000
795127882,0.000000
795344806,0.000000
795562599,0.000000
795719875,0.000000
795878410,0.000000
796035964,0.000000
796196647,0.000000
796354663,0.000000
796571605,0.000000
796729770,0.000000
796947341,0.000000
797104784,0.000000
797262634,0.000000
797420669,0.000000
797579630,0.000000
797737776,0.000000
797896311,0.000000
798053846,0.000000
798213807,0.000000
798371861,0.000000
798529636,0.000000
798746337,0.000000
798903743,0.000000
799062259,0.000000
799278794,0.000000
799436736,0.000000
799653548,0.000000
799811972,0.000000
799969970,0.000000
800129246,0.000000
800286763,0.000000
800444594,0.000000
800601925,0.000000
800759553,0.000000
800977587,0.000000
801135326,0.000000
801292676,0.000000
801450767,0.000000
801610709,0.000000
801768818,0.000000
801926724,0.000000
802144480,0.000000
802302756,0.000000
802460699,0.000000
802618974,0.000000
802776954,0.000000
802934859,0.000000
803152412,0.000000
803369669,0.000000
803586685,0.000000
803744590,0.000000
803961698,0.000000
804121178,0.000000
804336731,0.000000
804494729,0.000000
804711708,0.000000
804869557,0.000000
805027741,0.000000
805245201,0.000000
805402680,0.000000
805560641,0.000000
805718528,0.000000
805935266,0.000000
806092709,0.000000
806250892,0.000000
806408631,0.000000
806566629,0.000000
806931680,0.000000
807089641,0.000000
807247657,0.000000
807465118,0.000000
807622486,0.000000
807840613,0.000000
807998611,0.000000
808223997,0.000000
808383217,0.000000
808540956,0.000000
808698436,0.000000
808916970,0.000000
809074727,0.000000
809292576,0.000000
809450241,0.000000
809607443,0.000000
809764571,0.000000
809922532,0.000000
810081548,0.000000
810239546,0.000000
810456599,0.000000
810614671,0.000000
810831576,0.000000
810989555,0.000000
811206497,0.000000
811364495,0.000000
811582344,0.000000
811799619,0.000000
812016617,0.000000
812176244,0.000000
812333909,0.000000
812491814,0.000000
812650905,0.000000
812808385,0.000000
813025512,0.000000
813183954,0.000000
813341434,0.000000
813499320,0.000000
813716836,0.000000
813874705,0.000000
814092591,0.000000
814250533,0.000000
814408513,0.000000
814566529,0.000000
814725953,0.000000
814883859,0.000000
815100541,0.000000
815258613,0.000000
815416574,0.000000
815574665,0.000000
815735181,0.000000
815892624,0.000000
816050715,0.000000
816268064,0.000000
816425599,0.000000
816583615,0.000000
816801298,0.000000
816958314,0.000000
817115424,0.000000
817333384,0.000000
817491308,0.000000
817648528,0.000000
817806859,0.000000
817966432,0.000000
818123263,0.000000
818280279,0.000000
818498592,0.000000
818656627,0.000000
818814365,0.000000
818973215,0.000000
819131824,0.000000
819289397,0.000000
819447728,0.000000
819605448,0.000000
819764409,0.000000
819923092,0.000000
820080498,0.000000
820299236,0.000000
820456493,0.000000
820614417,0.000000
820772341,0.000000
820931432,0.000000
821149466,0.000000
821307353,0.000000
821524684,0.000000
821682348,0.000000
821839457,0.000000
821997381,0.000000
822214471,0.000000
822372488,0.000000
822589281,0.000000
822746650,0.000000
822904444,0.000000
823062831,0.000000
823279439,0.000000
823437549,0.000000
823654287,0.000000
823812433,0.000000
823970542,0.000000
824130651,0.000000
824345556,0.000000
824503591,0.000000
824720477,0.000000
824878216,0.000000
825035436,0.000000
825193767,0.000000
825351747,0.000000
825716168,0.000000
825873426,0.000000
826031405,0.000000
826189292,0.000000
826349586,0.000000
826507510,0.000000
826724600,0.000000
826882321,0.000000
827040245,0.000000
827197539,0.000000
827355926,0.000000
827514331,0.000000
827672385,0.000000
827830327,0.000000
827988214,0.000000
828148879,0.000000
828307081,0.000000
828524263,0.000000
828681261,0.000000
828899444,0.000000
829057368,0.000000
829215125,0.000000
829372586,0.000000
829532473,0.000000
829690415,0.000000
829907468,0.000000
830125243,0.000000
830283352,0.000000
830452924,0.000000
830658570,0.000000
830816179,0.000000
831034399,0.000000
831192341,0.000000
831349358,0.000000
831507967,0.000000
831667428,0.000000
831825315,0.000000
831982479,0.000000
832141718,0.000000
832300216,0.000000
832457436,0.000000
832615860,0.000000
832773377,0.000000
832931523,0.000000
833148539,0.000000
833306370,0.000000
833464294,0.000000
833622866,0.000000
833781290,0.000000
833939288,0.000000
834097138,0.000000
834254358,0.000000
834412486,0.000000
834571429,0.000000
834729315,0.000000
834887351,0.000000
835045478,0.000000
835262383,0.000000
835420233,0.000000
835637434,0.000000
835795117,0.000000
836012485,0.000000
836171668,0.000000
836329555,0.000000
836487071,0.000000
836704921,0.000000
836922270,0.000000
837080268,0.000000
837238210,0.000000
837396171,0.000000
837613317,0.000000
837771778,0.000000
837929553,0.000000
838087181,0.000000
838246068,0.000000
838404381,0.000000
838562157,0.000000
838719358,0.000000
838877782,0.000000
839094020,0.000000
839251185,0.000000
839409257,0.000000
839567237,0.000000
839784660,0.000000
839942732,0.000000
840101471,0.000000
840259191,0.000000
840417448,0.000000
840575224,0.000000
840733278,0.000000
840965775,0.000000
841123940,0.000000
841341289,0.000000
841499213,0.000000
841657322,0.000000
841884245,0.000000
842043169,0.000000
842201371,0.000000
842359424,0.000000
842517478,0.000000
842675180,0.000000
842833326,0.000000
842991602,0.000000
843149155,0.000000
843306875,0.000000
843465188,0.000000
843682260,0.000000
843840332,0.000000
843998404,0.000000
844157680,0.000000
844315492,0.000000
844473342,0.000000
844631118,0.000000
844788042,0.000000
